Time,level_0,index,General Demand (W),Heating Demand (W),PV (W),TotalDemand,Imbalnace,Imbalance_check,Energy Imported (W),Hour,DayOfWeek,EV Demand (W)
2021-01-02 00:00:00,0.0,96.0,5973.0,4290.0,0.0,10263.0,10263.0,True,10263.0,0.0,5.0,0.0
2021-01-02 00:15:00,1.0,97.0,7129.0,4290.0,0.0,11419.0,11419.0,True,11419.0,0.0,5.0,0.0
2021-01-02 00:30:00,2.0,98.0,5542.0,4290.0,0.0,9832.0,9832.0,True,9832.0,0.0,5.0,0.0
2021-01-02 00:45:00,3.0,99.0,5363.0,4290.0,0.0,9653.0,9653.0,True,9653.0,0.0,5.0,0.0
2021-01-02 01:00:00,4.0,100.0,5347.0,4290.0,0.0,9637.0,9637.0,True,9637.0,1.0,5.0,0.0
2021-01-02 01:15:00,5.0,101.0,5370.0,4290.0,0.0,9660.0,9660.0,True,9660.0,1.0,5.0,0.0
2021-01-02 01:30:00,6.0,102.0,5391.0,4290.0,0.0,9681.0,9681.0,True,9681.0,1.0,5.0,0.0
2021-01-02 01:45:00,7.0,103.0,5343.0,4290.0,0.0,9633.0,9633.0,True,9633.0,1.0,5.0,0.0
2021-01-02 02:00:00,8.0,104.0,5365.0,4290.0,0.0,9655.0,9655.0,True,9655.0,2.0,5.0,0.0
2021-01-02 02:15:00,9.0,105.0,5364.0,4290.0,0.0,9654.0,9654.0,True,9654.0,2.0,5.0,0.0
2021-01-02 02:30:00,10.0,106.0,5391.0,4290.0,0.0,9681.0,9681.0,True,9681.0,2.0,5.0,0.0
2021-01-02 02:45:00,11.0,107.0,5344.0,4290.0,0.0,9634.0,9634.0,True,9634.0,2.0,5.0,0.0
2021-01-02 03:00:00,12.0,108.0,5362.0,4290.0,0.0,9652.0,9652.0,True,9652.0,3.0,5.0,0.0
2021-01-02 03:15:00,13.0,109.0,5359.0,4290.0,0.0,9649.0,9649.0,True,9649.0,3.0,5.0,0.0
2021-01-02 03:30:00,14.0,110.0,5391.0,4290.0,0.0,9681.0,9681.0,True,9681.0,3.0,5.0,0.0
2021-01-02 03:45:00,15.0,111.0,5349.0,4290.0,0.0,9639.0,9639.0,True,9639.0,3.0,5.0,0.0
2021-01-02 04:00:00,16.0,112.0,5358.0,4290.0,0.0,9648.0,9648.0,True,9648.0,4.0,5.0,0.0
2021-01-02 04:15:00,17.0,113.0,5365.0,4290.0,0.0,9655.0,9655.0,True,9655.0,4.0,5.0,0.0
2021-01-02 04:30:00,18.0,114.0,5388.0,4290.0,0.0,9678.0,9678.0,True,9678.0,4.0,5.0,0.0
2021-01-02 04:45:00,19.0,115.0,5342.0,4290.0,0.0,9632.0,9632.0,True,9632.0,4.0,5.0,0.0
2021-01-02 05:00:00,20.0,116.0,5364.0,4290.0,0.0,9654.0,9654.0,True,9654.0,5.0,5.0,0.0
2021-01-02 05:15:00,21.0,117.0,5374.0,4290.0,0.0,9664.0,9664.0,True,9664.0,5.0,5.0,0.0
2021-01-02 05:30:00,22.0,118.0,5376.0,4290.0,0.0,9666.0,9666.0,True,9666.0,5.0,5.0,0.0
2021-01-02 05:45:00,23.0,119.0,5367.0,4290.0,0.0,9657.0,9657.0,True,9657.0,5.0,5.0,0.0
2021-01-02 06:00:00,24.0,120.0,5547.0,4290.0,0.0,9837.0,9837.0,True,9837.0,6.0,5.0,0.0
2021-01-02 06:15:00,25.0,121.0,6418.0,4290.0,0.0,10708.0,10708.0,True,10708.0,6.0,5.0,0.0
2021-01-02 06:30:00,26.0,122.0,7093.0,6243.0,0.0,13336.0,13336.0,True,13336.0,6.0,5.0,0.0
2021-01-02 06:45:00,27.0,123.0,10202.0,12137.0,0.0,22339.0,22339.0,True,22339.0,6.0,5.0,0.0
2021-01-02 07:00:00,28.0,124.0,10948.0,6182.0,0.0,17130.0,17130.0,True,17130.0,7.0,5.0,0.0
2021-01-02 07:15:00,29.0,125.0,10860.0,7807.0,0.0,18667.0,18667.0,True,18667.0,7.0,5.0,0.0
2021-01-02 07:30:00,30.0,126.0,14919.0,9348.0,0.0,24267.0,24267.0,True,24267.0,7.0,5.0,0.0
2021-01-02 07:45:00,31.0,127.0,11448.0,10046.0,0.0,21494.0,21494.0,True,21494.0,7.0,5.0,0.0
2021-01-02 08:00:00,32.0,128.0,13201.0,7173.0,0.0,20374.0,20374.0,True,20374.0,8.0,5.0,0.0
2021-01-02 08:15:00,33.0,129.0,13543.0,3984.0,0.0,17527.0,17527.0,True,17527.0,8.0,5.0,0.0
2021-01-02 08:30:00,34.0,130.0,13240.0,3984.0,0.0,17224.0,17224.0,True,17224.0,8.0,5.0,0.0
2021-01-02 08:45:00,35.0,131.0,11120.0,5644.0,0.0,16764.0,16764.0,True,16764.0,8.0,5.0,0.0
2021-01-02 09:00:00,36.0,132.0,8915.0,6670.0,-2989.022222307,15585.0,12595.977777693,True,12595.977777693,9.0,5.0,0.0
2021-01-02 09:15:00,37.0,133.0,8315.0,6191.0,-132197.6222307,14506.0,-91611.62223070001,False,0.0,9.0,5.0,26080.0
2021-01-02 09:30:00,38.0,134.0,5335.0,4263.0,-111213.9111099,9598.0,-73827.9111099,False,0.0,9.0,5.0,27788.0
2021-01-02 09:45:00,39.0,135.0,5482.0,3935.0,-72148.311099,9417.0,-36335.311099,False,0.0,9.0,5.0,26396.0
2021-01-02 10:00:00,40.0,136.0,5664.0,4445.0,-54424.911099000004,10109.0,-17535.911099000004,False,0.0,10.0,5.0,26780.0
2021-01-02 10:15:00,41.0,137.0,5789.0,3626.0,-46431.5777802,9415.0,-10860.577780200001,False,0.0,10.0,5.0,26156.0
2021-01-02 10:30:00,42.0,138.0,5908.0,3626.0,-42815.199989099994,9534.0,-6653.199989099994,False,0.0,10.0,5.0,26628.0
2021-01-02 10:45:00,43.0,139.0,5985.0,3626.0,-29030.333334059997,9611.0,7444.666665940003,False,0.0,10.0,5.0,26864.0
2021-01-02 11:00:00,44.0,140.0,6075.0,3626.0,-22047.066665939998,9701.0,15437.933334060002,False,0.0,11.0,5.0,27784.0
2021-01-02 11:15:00,45.0,141.0,6159.0,3744.0,-17386.71111099,9903.0,18148.28888901,False,0.0,11.0,5.0,25632.0
2021-01-02 11:30:00,46.0,142.0,6213.0,3744.0,-13021.86666594,9957.0,-3064.8666659400005,False,0.0,11.0,5.0,0.0
2021-01-02 11:45:00,47.0,143.0,7048.0,3633.0,-11883.42222198,10681.0,-1202.4222219799994,False,0.0,11.0,5.0,0.0
2021-01-02 12:00:00,48.0,144.0,8468.0,3633.0,-10761.93333297,12101.0,1339.0666670299997,True,1339.0666670299997,12.0,5.0,0.0
2021-01-02 12:15:00,49.0,145.0,8000.0,3633.0,-9654.97777911,11633.0,1978.0222208899995,True,1978.0222208899995,12.0,5.0,0.0
2021-01-02 12:30:00,50.0,146.0,7693.0,3633.0,-8557.71111099,11326.0,2768.2888890100003,True,2768.2888890100003,12.0,5.0,0.0
2021-01-02 12:45:00,51.0,147.0,7240.0,3633.0,-10529.400000000001,10873.0,343.59999999999854,True,343.59999999999854,12.0,5.0,0.0
2021-01-02 13:00:00,52.0,148.0,8716.0,4081.0,-12522.888890100001,12797.0,274.11110989999906,True,274.11110989999906,13.0,5.0,0.0
2021-01-02 13:15:00,53.0,149.0,8512.0,3633.0,-14543.02222089,12145.0,-2398.0222208899995,False,0.0,13.0,5.0,0.0
2021-01-02 13:30:00,54.0,150.0,6419.0,3633.0,-16592.22222198,10052.0,-6540.222221979999,False,0.0,13.0,5.0,0.0
2021-01-02 13:45:00,55.0,151.0,6493.0,3633.0,-15715.37777802,10126.0,-5589.37777802,False,0.0,13.0,5.0,0.0
2021-01-02 14:00:00,56.0,152.0,6627.0,3484.0,-14845.8,10111.0,-4734.799999999999,False,0.0,14.0,5.0,0.0
2021-01-02 14:15:00,57.0,153.0,7456.0,4482.0,-13983.48888792,11938.0,-2045.4888879200007,False,0.0,14.0,5.0,0.0
2021-01-02 14:30:00,58.0,154.0,8855.0,3421.0,-13133.28888792,12276.0,-19685.28888792,False,0.0,14.0,5.0,-18828.0
2021-01-02 14:45:00,59.0,155.0,7873.0,4039.0,-10468.844442869999,11912.0,-17384.84444287,True,1443.1555571300014,14.0,5.0,-18828.0
2021-01-02 15:00:00,60.0,156.0,9461.0,3757.0,-7821.35555604,13218.0,-13431.355556039998,True,5396.64444396,15.0,5.0,-18828.0
2021-01-02 15:15:00,61.0,157.0,9816.0,6340.0,-5185.97777802,16156.0,-7857.97777802,True,10970.02222198,15.0,5.0,-18828.0
2021-01-02 15:30:00,62.0,158.0,11026.0,3960.0,-2569.977777693,14986.0,-6411.9777776930005,True,12416.022222307,15.0,5.0,-18828.0
2021-01-02 15:45:00,63.0,159.0,10898.0,3629.0,-1935.355555713,14527.0,-6236.355555713,True,12591.644444287,15.0,5.0,-18828.0
