,TimeStamp,"Neighbourhood Demand (kW,avg)","Neighbourhood Generation (kW,avg)",Imbalance pre control assets (kW),Imbalance pre control assets (kWh),Capacity Check Storage,Storage SoC (kWh),Imbalance Remaining (kWh),Dates,Time
0,2021-01-01 00:00:00,5.541,0.0,5.541,0,0,0,0,2021-01-01,00:00:00
1,2021-01-01 00:15:00,5.398,0.0,5.398,0,0,0,0,2021-01-01,00:15:00
2,2021-01-01 00:30:00,5.267,0.0,5.267,0,0,0,0,2021-01-01,00:30:00
3,2021-01-01 00:45:00,5.252,0.0,5.252,0,0,0,0,2021-01-01,00:45:00
4,2021-01-01 01:00:00,5.235,0.0,5.235,0,0,0,0,2021-01-01,01:00:00
5,2021-01-01 01:15:00,5.24,0.0,5.24,0,0,0,0,2021-01-01,01:15:00
6,2021-01-01 01:30:00,5.273,0.0,5.273,0,0,0,0,2021-01-01,01:30:00
7,2021-01-01 01:45:00,5.221,0.0,5.221,0,0,0,0,2021-01-01,01:45:00
8,2021-01-01 02:00:00,5.245,0.0,5.245,0,0,0,0,2021-01-01,02:00:00
9,2021-01-01 02:15:00,5.24,0.0,5.24,0,0,0,0,2021-01-01,02:15:00
10,2021-01-01 02:30:00,5.271,0.0,5.271,0,0,0,0,2021-01-01,02:30:00
11,2021-01-01 02:45:00,5.215,0.0,5.215,0,0,0,0,2021-01-01,02:45:00
12,2021-01-01 03:00:00,5.246,0.0,5.246,0,0,0,0,2021-01-01,03:00:00
13,2021-01-01 03:15:00,5.267,0.0,5.267,0,0,0,0,2021-01-01,03:15:00
14,2021-01-01 03:30:00,5.235,0.0,5.235,0,0,0,0,2021-01-01,03:30:00
15,2021-01-01 03:45:00,5.237,0.0,5.237,0,0,0,0,2021-01-01,03:45:00
16,2021-01-01 04:00:00,5.247,0.0,5.247,0,0,0,0,2021-01-01,04:00:00
17,2021-01-01 04:15:00,5.252,0.0,5.252,0,0,0,0,2021-01-01,04:15:00
18,2021-01-01 04:30:00,5.237,0.0,5.237,0,0,0,0,2021-01-01,04:30:00
19,2021-01-01 04:45:00,5.248,0.0,5.248,0,0,0,0,2021-01-01,04:45:00
20,2021-01-01 05:00:00,5.25,0.0,5.25,0,0,0,0,2021-01-01,05:00:00
