Time,General Demand (W),EV Demand (W),Heating Demand (W),PV (W)
1/1/2021 0:00,5686,0,5813,0
1/1/2021 0:15,5514,0,5813,0
1/1/2021 0:30,5391,0,5813,0
1/1/2021 0:45,5376,0,5813,0
1/1/2021 1:00,5354,0,5813,0
1/1/2021 1:15,5364,0,5813,0
1/1/2021 1:30,5371,0,5813,0
1/1/2021 1:45,5376,0,5813,0
1/1/2021 2:00,5330,0,5813,0
1/1/2021 2:15,5388,0,5813,0
1/1/2021 2:30,5375,0,5813,0
1/1/2021 2:45,5348,0,5813,0
1/1/2021 3:00,5347,0,5813,0
1/1/2021 3:15,5395,0,5813,0
1/1/2021 3:30,5364,0,5813,0
1/1/2021 3:45,5340,0,5813,0
1/1/2021 4:00,5364,0,5813,0
1/1/2021 4:15,5405,0,5813,0
1/1/2021 4:30,5334,0,5813,0
1/1/2021 4:45,5357,0,5813,0
1/1/2021 5:00,5377,0,5813,0
1/1/2021 5:15,5382,0,5813,0
1/1/2021 5:30,5342,0,5813,0
1/1/2021 5:45,5358,0,5813,0
1/1/2021 6:00,5385,0,5813,0
1/1/2021 6:15,5354,0,5813,0
1/1/2021 6:30,5371,0,5813,0
1/1/2021 6:45,5355,0,5813,0
1/1/2021 7:00,5374,0,5813,0
1/1/2021 7:15,5372,0,5813,0
1/1/2021 7:30,5536,0,5813,0
1/1/2021 7:45,6362,0,5813,0
1/1/2021 8:00,7314,0,7813,0
1/1/2021 8:15,9138,0,7848,0
1/1/2021 8:30,12176,0,11417,0
1/1/2021 8:45,10167,0,11301,0
1/1/2021 9:00,9846,0,13796,-16.14074074
1/1/2021 9:15,8868,0,17488,-604.4888889
1/1/2021 9:30,6400,0,16166,-625.8
1/1/2021 9:45,6733,0,18173,-576.2148148
1/1/2021 10:00,6602,0,10585,-556.6888889
1/1/2021 10:15,6680,0,10814,-552.6444444
1/1/2021 10:30,6632,0,10959,-552.5185185
1/1/2021 10:45,8558,0,10646,-517.0296296
1/1/2021 11:00,8668,0,8003,-488.4444444
1/1/2021 11:15,7231,0,8882,-469.6074074
1/1/2021 11:30,8864,0,6972,-459.4888889
1/1/2021 11:45,11357,0,9214,-441.0518519
1/1/2021 12:00,10436,0,8083,-429.6444444
1/1/2021 12:15,9974,0,7913,-424.3111111
1/1/2021 12:30,9292,0,6777,-424.4740741
1/1/2021 12:45,11386,0,7360,-334.6740741
1/1/2021 13:00,10049,0,7823,-257.562963
1/1/2021 13:15,10270,0,8959,-194.1037037
1/1/2021 13:30,13694,0,7645,-143.8962963
1/1/2021 13:45,10766,0,7704,-119.2296296
1/1/2021 14:00,8917,0,7047,-98.12592593
1/1/2021 14:15,9999,0,7197,-79.8
1/1/2021 14:30,10137,0,5461,-63.61481481
1/1/2021 14:45,10154,0,7023,-47.58518519
1/1/2021 15:00,10022,0,7122,-32.3037037
1/1/2021 15:15,8854,0,7984,-17.23703704
1/1/2021 15:30,8179,0,8333,-2.585185185
1/1/2021 15:45,9660,0,9260,-1.940740741
1/1/2021 16:00,10596,0,8399,-1.296296296
1/1/2021 16:15,10770,0,7930,-0.637037037
1/1/2021 16:30,12470,0,11063,0
1/1/2021 16:45,12973,0,8683,0
1/1/2021 17:00,11227,0,9411,0
1/1/2021 17:15,11277,0,9286,0
1/1/2021 17:30,13533,0,8504,0
1/1/2021 17:45,14415,0,8079,0
1/1/2021 18:00,15593,0,6577,0
1/1/2021 18:15,15581,0,7654,0
1/1/2021 18:30,16313,0,6765,0
1/1/2021 18:45,17844,0,6800,0
1/1/2021 19:00,17668,0,8873,0
1/1/2021 19:15,21276,0,9113,0
1/1/2021 19:30,20999,0,13893,0
1/1/2021 19:45,21620,0,10119,0
1/1/2021 20:00,24446,0,8202,0
1/1/2021 20:15,15122,0,12387,0
1/1/2021 20:30,21020,0,10591,0
1/1/2021 20:45,18936,0,8524,0
1/1/2021 21:00,13599,0,10637,0
1/1/2021 21:15,14149,0,8162,0
1/1/2021 21:30,11859,0,6855,0
1/1/2021 21:45,11504,0,6583,0
1/1/2021 22:00,11397,0,11356,0
1/1/2021 22:15,10912,0,7065,0
1/1/2021 22:30,13624,0,7693,0
1/1/2021 22:45,11468,0,6698,0
1/1/2021 23:00,8322,0,5442,0
1/1/2021 23:15,7642,0,3870,0
1/1/2021 23:30,7716,0,3814,0
1/1/2021 23:45,6162,0,3732,0
1/2/2021 0:00,5973,0,4290,0
1/2/2021 0:15,7129,0,4290,0
1/2/2021 0:30,5542,0,4290,0
1/2/2021 0:45,5363,0,4290,0
1/2/2021 1:00,5347,0,4290,0
